utterance,emotion,did
"Nun, es ist nicht",neutral,137
"Nun, ich denke, es ist",neutral,137
ok,neutral,137
"Ich verstehe, dass Sie das mögen, und die meisten Leute tun das anscheinend auch.",neutral,137
aber einfach so... warum,non-neutral,137
Akzeptanz?,neutral,137
Ich schaue seit sehr langer Zeit Anime.,neutral,137
"Sie akzeptieren also einfach, dass es so ist, wie es ist?",non-neutral,137
"Ich meine, ich akzeptiere es, weil es nichts gibt, was ich dagegen tun kann.",neutral,137
"aber ich kann mir immer noch wünschen, dass es anders wäre",non-neutral,137
"Ich bin einfach so dankbar, dass Haikyuu ein gutes Studio bekommen hat",neutral,137
meine armen Shoujos bekommen nicht einmal die benötigten Synchronsprecher :(,sadness,137
lol gut,joy,137
warum,surprise,137
weil Shoujos Müll sind,non-neutral,137
haha ja wir schätzen Feedback hier sehr,joy,503
hatte keine bestimmte Mahlzeit zum Abendessen haha,neutral,503
meist nur gegessen/genascht durch den Nachmittag LOL,joy,503
ehhh,disgust,503
nicht gesund leh Mädchen,non-neutral,503
"haha, woran arbeiten Sie denn jetzt?",non-neutral,503
mehr Interviews?,neutral,503
:/,sadness,503
haha ja,joy,503
jetzt Interviews führen,neutral,503
ich habe heute keine Zeit für eine bestimmte Abendmahlzeit,neutral,503
haha klingt auch wie ich,neutral,503
aber ich habe mir heute Zeit genommen,neutral,503
Ich habe jetzt aber keine Lust zu arbeiten,sadness,503
://,sadness,503
Wie war Ihr Tag?,neutral,359
ok,neutral,359
ereignislos,neutral,359
"Ich weiß, dass du nicht willst, aber wirst du dir deinen Brief heute überhaupt ansehen?",neutral,359
Ja,neutral,359
Ich esse erst zu Mittag,neutral,359
Pbtttt es sind vier,neutral,359
"(Ich weiß, es ist spät :p)",neutral,359
DISGUSTING!!!!!,disgust,433
MEIN GOTT,surprise,433
Ich bin diese Katze,neutral,433
Will mag meine Liebe nicht,neutral,433
wtf Ihre Mitbewohner,surprise,433
Ich fühle mich so schlecht für Person_489,sadness,433
Der Ruf von person_225 ist gerade gesunken,non-neutral,433
Sollte ich ihr eine wütende Facebook-Nachricht schicken,anger,433
Ja lmao,joy,433
Das wäre so lustig,joy,433
"Ich glaube nicht, dass ich jemals mit ihr gesprochen habe.",neutral,433
Lmao,joy,433
sie war die Schwester einer meiner Klassenkameraden,neutral,433
"Ich werde sie fragen, warum sie in Duschen kotzt.",neutral,433
"sie ist person_387 lavelle, korrekt?",neutral,433
Ja lmao,joy,433
 Ist das zu gemein,neutral,433
mir ist es egal,neutral,433
"du bist derjenige, der neben ihr wohnen muss, also wenn sie sich aufregt, bist du derjenige, der dafür bezahlt, nicht ich",neutral,433
"Ho ga, ka bare...",neutral,206
Ata 40 $ waste zalet ka?,neutral,206
Telefon neu hota na,neutral,206
"nai, me toh dabda phone use karat hoti ga",neutral,206
skype var bolayla free ahes ka 8:30 PM vajta?,neutral,206
"Ho, Desktop auf Karte, baba delhi, person_421 cha tab pan ahe",neutral,206
masta,neutral,206
:),joy,206
mag bolu eka tasani,neutral,206
Ho nakki,neutral,206
juhu!,joy,206
ek juna photo sapadla,neutral,206
visarle pathvayche,neutral,206
2 Monate zurück vielleicht,neutral,206
2-3 Monate zurück,neutral,206
Ho,neutral,206
"Lämmchen, das",neutral,206
kasay?,neutral,206
"Khup sadhi distey, Augenbrauen",neutral,206
haha hu,joy,206
zopet host vielleicht hahaha,joy,206
Ajun ek sapadla,neutral,206
"Hey, was gibt's?",neutral,518
Ich wollte nur eine Antwort auf eine der Wahrscheinlichkeitsfragen abfragen,neutral,518
4b --> Standardabweichung der Kosten des Projekts,neutral,518
"Da bin ich mir ziemlich sicher, dass ich mich geirrt habe, aber ich habe 420.886",neutral,518
"haben Sie Ihre ""pblms"" abgegeben?",neutral,518
und ein Ergebnis erhalten?,neutral,518
(ich hatte 600k --> Person_358 gepostete Antworten war ~459.6465) - bin also ein wenig verwirrt,neutral,518
"Ich habe es eingereicht und 9/10 bekommen, und ich bin mir sicher, dass dieses Problem dasjenige war, das ich falsch gelöst habe",neutral,518
ja,neutral,518
dieselbe,neutral,518
"wir sind erlaubt mehrere Einreichungen so war ein wenig unsicher und wollte, dass 10/1 0 :-P",non-neutral,518
"Sicher, ich kann es Ihnen dafür besorgen. Wie wollen Sie bezahlen? Bar oder Venmo?",non-neutral,384
Venmo wäre einfacher.,neutral,384
Ist der Stuhl trotzdem in Ordnung? Gut für den Gebrauch?,neutral,384
Weil ich einen Stuhl von jemandem bekommen habe und er alt ist und die Federn schlecht geworden sind und er nicht benutzt werden kann.,sadness,384
"Ich würde es nicht verkaufen, wenn es nicht so wäre. Es hat nur eine Ebene",neutral,384
Sie können also nicht auf und ab gehen,neutral,384
Das ist okay. Das ist kein Thema.,neutral,384
"Wenn Sie sich draufsetzen, geht es eine Stufe tiefer, bis zur einzigen Stufe, die funktioniert.",neutral,384
Es funktioniert gut und bewegt sich gut,joy,384
Keine Probleme,neutral,384
Also gut. Das ist großartig!,joy,384
"Ich habe auch einige andere Anfragen, also lassen Sie mich wissen, wenn Sie Zweifel haben",neutral,384
"Nein, ich wollte nur eine Bestätigung.",neutral,384
"Okay, cool.",joy,384
Ich werde bis 14:45 Uhr zu Hause sein,neutral,384
"Keine Sorge, ich bin nicht darauf aus, Leute zu bescheißen",neutral,384
"Ich versuche nur, mich zu verkleinern",neutral,384
Haha. Okay. Ich nehme Sie beim Wort.,joy,384
Meine Adresse lautet also 5562 location_44.,neutral,384
Ich wurde gerade von Person_179 abgeholt,neutral,333
Oh Junge,non-neutral,333
Noch jemand?,neutral,333
Und ich werde am Standort_41 abgesetzt,neutral,333
"Nein, nur das dynamische Duo",neutral,333
Du und dein Vater?,neutral,333
Ja,neutral,333
Ein Duo in der Tat,neutral,333
Ist sonst alles in Ordnung?,neutral,333
Ah?,neutral,333
Ich habe immer noch nicht gepinkelt,non-neutral,333
"Entschuldigung, ich wollte fragen, ob sonst alles in Ordnung ist",neutral,333
Ich habe ein paar eklige Chips aus dem Automaten am Bahnhof,non-neutral,333
"Und ich habe alle Hearthstone-Spiele verloren, die ich gespielt habe",sadness,333
Ich verliere immer noch alle meine Spiele,sadness,333
Huch!,non-neutral,333
"Ja, ich bin ziemlich schlecht in Hearthstone",neutral,333
"Ich frage mich, ob es nur an Ihrer Strategie liegt.",neutral,333
Sie sind normalerweise ein wenig voreilig,neutral,333
Ich denke schon,neutral,333
"Ich weiß nicht wirklich, wie man es repariert",neutral,333
Warum sollten Sie ihn dann schlagen müssen,non-neutral,580
Ich habe keine,neutral,580
Aber Person_30 würde,neutral,580
Lol,joy,580
Lol,joy,580
Person_30 interessiert sich nicht für einen Scheiß,neutral,580
Ja,neutral,580
Ich bin toleranter gegenüber den Eskapaden von Person_165 als Person_30,neutral,580
Wie auch immer,neutral,580
Wie war der Unterricht?,neutral,580
lol okayyyy,joy,580
äh hatte nur eine Klasse tdy,neutral,580
hat nicht viel gemacht,neutral,580
"ich bin zu Hause und warte darauf, dass Person_361 seinen Kühlschrank hierher bringt",neutral,580
Loll,joy,580
Hat er den Rest seiner Sachen gelagert bekommen,neutral,580
"Ich glaube, er hat seine 5 Kisten gelagert",neutral,580
aber er hat noch 2 zusätzliche Boxen,neutral,580
und 1 Kühlschrank,neutral,580
ich gehe zu 213 tmr :O,non-neutral,580
Ich bin erschrocken,fear,580
:(,sadness,664
"Ich bin mir aber sicher, dass Sie es gut machen werden.",non-neutral,664
das hoffe ich sehr haha,non-neutral,664
"auf einer separaten Note, wenn Sie frei sind tmr 19.00 Uhr, im mit einem anderen playtest bei etc",neutral,664
"Wenn Sie es nicht schaffen, ist es ok lol nicht brauchen, um schlecht darüber fühlen",neutral,664
haha Das glaube ich nicht,non-neutral,664
haben dann Meeting,neutral,664
und dann noch mehr Arbeit!,sadness,664
haha ok,neutral,664
"es schadet nicht, zu fragen :P",neutral,664
diese Arbeit ist ein nie endender Seufzer,sadness,664
haha ja,joy,664
buchung in ssa-gruppe la,neutral,664
aww nicht klingen so jaded,neutral,664
OH YA,non-neutral,664
GUTE IDEE,surprise,664
"dann wieder, Posting in der Gruppe und fragen Leute zu kommen, etc in der Regel nicht funktionieren haha aber ok ich werde fragen",non-neutral,664
"Es ist ein Schlampengrab, das nur für dich gemacht wurde",non-neutral,297
"Oh, du hast dir endlich ein Bett für meine Wohnung gekauft? Süß, willkommen in der Organisation_77. [:",joy,297
"Das heißt, ich kann Ihre Laken haben, richtig?",neutral,297
Und zurück zum Ignorieren von Ihnen.,neutral,297
"Ich habe dir gesagt, dass ich dein Grabmal habe",neutral,297
Person_164,neutral,297
Haben Sie auch den Beitrag erstellt?,neutral,297
"Nein, ich lerne für die Midterms, und meine Beiträge gehen darüber unter.",neutral,297
Verdammt noch mal :/,non-neutral,297
:(,sadness,656
Huch!,surprise,656
Ist dies ein ganztägiges Problem,neutral,656
Eigentlich könnte ich in der Lage sein,neutral,656
"Ich muss meine Mutter fragen, ob sie mich absetzen kann",neutral,656
Wenn ich mit der Familie zu Mittag esse,neutral,656
K,neutral,656
"Meine Telefone sind kurz davor, zu sterben",neutral,656
Ich schaue also später noch einmal nach,neutral,656
"Heilige Scheiße, also höre ich mir eines von Logics Mixtapes an (ich bin in den letzten Monaten in ihn reingekommen oder so)",surprise,282
einer der Songs setzt ein und sampelt Corridors of Time aus Chrono Trigger,non-neutral,282
ich bekomme wirklich eine Gänsehaut und weine ein wenig,joy,282
unglaubliche,joy,282
Jeder Song ist ein guter Song person_156,neutral,282
"aber allein die Tatsache, dass er diesen einen Song sampelt",neutral,282
war nur wahrscheinlich,neutral,282
heilige Scheiße,surprise,282
"Nö, bei Riesenadler Person_398, große Plackerei nach",neutral,96
Person_66,neutral,96
"Kumpel, habe gerade ein Gefühl",non-neutral,96
"Ja, ich auch",neutral,96
Freude scheint es,joy,96
Haha ich wurde müde von dir /nEs war treffend :D,joy,96
"Na ja, irgendwie",neutral,96
Versuchen Sie etwas,neutral,96
Wie Wut =!,neutral,96
"Haha ja, Ärger habe ich",joy,96
Ich bin eigentlich/überglücklich,joy,96
Man sagt haha und bekommt Freude :P,joy,96
Lahm ist das,non-neutral,96
Woah lahm hat Wut,non-neutral,96
Haha verdammte Scheiße oh nein,non-neutral,96
Lol,joy,96
Es wurde verwechselt,neutral,96
Ich habe solche Angst! =0,fear,96
"Oh Scheiße, hast du Stranger Things gesehen?",surprise,238
noch nicht,neutral,238
Gottverdammt. Vorsicht. Person_124 (der Sheriff der Stadt im Film) ist buchstäblich Person_125.,joy,238
lmao,joy,238
"Hey, denk daran, dass ich morgen um 13:15 Uhr Hilfe beim Abladen der Möbel brauche, wenn du noch kannst.",neutral,238
"wenn nicht, ist es in Ordnung",neutral,238
Okay... Kommt auf den Trainingsscheiß an...,neutral,238
"Ja, das dachte ich mir",neutral,238
Ich kann probs sowieso verlassen tbh haha,joy,238
"lol Mach es nicht, wenn es nicht cool ist",joy,238
"Ich vermute, dass es jetzt mehr Hands-On sein wird",non-neutral,238
"Ich fühle mich aber schlecht, haha, ich möchte helfen.",sadness,238
"haha ich brauche nur einen Satz Hände, also sage ich Ihnen bis Mittag Bescheid, wenn ich niemanden bekommen habe",joy,238
"Okay, cool.",joy,238
"Person_126 sieht, ob Person_127 die Aktion_1 an Tag_1 oder Tag_2 ausführt",neutral,238
Sie wollen am Samstag nicht kommen?,surprise,238
Ich will dich mitnehmen haha,joy,238
lol,joy,238
ach,joy,238
So yee haha,joy,238
SnS fo lyfe,joy,238
sagen Sie das nicht noch einmal,non-neutral,238
hahaha bekam ein bisschen la,joy,581
haha person_352 choo auch bekam glücklich Aura um ihn herum eine la pls,joy,581
und er so sart,neutral,581
smart,neutral,581
keine Befürchtungen,neutral,581
"ehh gut gut, jetzt auf dem Weg nach Hause dann",neutral,581
?,neutral,581
haha nein bin noch nicht weg,neutral,581
mit dem Shuttle 1115 zum Hauptcampus,neutral,581
haha person_352 wo bekam glückliche Aura,joy,581
und ja hes verdammt schlau haha ich fühle mich ein bisschen traurig für ihn cos hes auf Stipendium und muss gehen erfüllen die Bindung,non-neutral,581
"Irgendwie habe ich das Gefühl, dass seine Talente dort verschwendet werden.",sadness,581
Wir brauchen ein Geschenk für Person_200,neutral,380
Jemand schlägt eine Idee vor,neutral,380
LoL omg ja,joy,380
Haben Sie Prime?,neutral,380
Und zum,neutral,380
Aber,neutral,380
dieser Becher scheint nicht erstklassig geeignet zu sein,neutral,380
Das tut,neutral,380
nvm,neutral,380
die auch nicht wählbar ist,sadness,380
"Es gibt einen normalen Becher, der ist glaube ich",neutral,380
ja,neutral,380
Soll ich es holen?,neutral,380
Ich will gar nichts machen,non-neutral,606
Ich habe morgen früh einen Test :/,non-neutral,606
Oh nein,non-neutral,606
welcher Test,neutral,606
Physik,neutral,606
oh,non-neutral,606
was ihr jetzt lernt,neutral,606
magnets,neutral,606
was ich gut kann,joy,606
hoffentlich komme ich dieses Mal über 88,non-neutral,606
yeah man kill it with the righth hand rules,neutral,606
"Person_387 und Person_388 sprechen immer noch über die Dusch-Episode von Person_387 mit Personen am Telefon, als wäre es das Aufregendste, was je in ihrem Leben passiert ist",disgust,606
vielleicht ist es,neutral,606
Oh nein,neutral,606
Sie sollten mit ihrem Bruder sprechen lmao,joy,606
"Nein, ich habe vor 8 Jahren kaum mit ihm gesprochen.",neutral,606
lmao,joy,606
BLESS 86 ON person_295,joy,606
yay gut jo,joy,606
b,neutral,606
avg war score_1 low war score_2...,neutral,606
yay Sie so großartig,joy,606
wow diese Note bringt den Durchschnitt runter,surprise,606
was war Median,neutral,606
Yea zweite Hälfte haha,joy,287
"Das ist schade, denn mein Freund war heute da, um mir zu helfen, es zu überprüfen, und er sagt, es ist ein wirklich gutes Geschäft, das einzige Problem ist, dass der andere Typ auf halbem Weg weiterzieht):",sadness,287
"Die Präsentation ist... Ok, denke ich? Die Folien sind noch nicht eingereicht, jetzt muss ich nur noch mein Skript auswendig lernen",neutral,287
Muss tmr um 830 zur Probe in die Schule gehen =-,neutral,287
"oh, wie viel kostet es leh?",neutral,287
wahhh das ist super früh,surprise,287
"und Sie müssen noch weiter gehen, so weit weg",neutral,287
Haha ja leider,sadness,287
"Es ist OK ba, nur eine halbe Stunde mit dem Bus?",neutral,287
"10min, wenn meine Mitbewohner bereit sind, mich zu holen, obwohl das sehr unwahrscheinlich ist",non-neutral,287
Die Person sagte 2350 für den gesamten Sommer!,surprise,287
"Sie ist sich noch nicht sicher, wann der Typ kommt, um zu sehen, wie",neutral,287
Aber im Moment sind es 800/Monat,neutral,287
ohh wowww,surprise,287
"das ist ziemlich billig, was",surprise,287
den ganzen Sommer lang,surprise,287
hahah,joy,287
früh schlafen?,neutral,287
Haha ja!,joy,287
aber müssen Skript richtig auswendig lernen,neutral,287
Und ich bekomme auch mein eigenes Zimmer!,joy,287
"Ja, ich hasse es, Dinge auswendig zu lernen):",sadness,287
Ich habe ein so schlechtes Gedächtnis.,sadness,287
Und meine Folien haben kaum Text und ich kann den Presenter-Modus nicht verwenden =-,sadness,287
bei dieser Form fühle ich mich unwohl,non-neutral,260
ok ich werde es mit der Kugel versuchen,neutral,260
Ihr Cad-Kurs ist viel tiefgründiger als meiner,neutral,260
Ich muss so viele Dinge selbst herausfinden,non-neutral,260
wtf-Kugel klingt noch volkstümlicher,neutral,260
warum ist Ihnen diese Form unangenehm,neutral,260
es ist ein fröhliches Lied über Selbstmord,neutral,260
idk es sieht einfach falsch aus,non-neutral,260
"Seltsam, ich höre wieder Mystery Skulls",non-neutral,260
Person_362 mag meine Musik nicht,sadness,260
Person_267,neutral,545
"Ich weiß nicht, ob ich Ig machen kann",neutral,545
Nächstes Semester werden 54 Credits belegt.,neutral,545
Und ich werde Kabinenstuhl sein,neutral,545
für tsa oder sigep?,neutral,545
ich nehme mehr als das lmao,non-neutral,545
Sigep. Vielleicht auch tsa,neutral,545
hart rangehen,neutral,545
Hat nicht nachgedacht,neutral,545
vielleicht nächstes Jahr (y),neutral,545
Wurde.,neutral,545
"Die große Sache ist, dass o gehört zweiten Jahr Herbst wird hart sein",non-neutral,545
So idk wo Zeit für lg zu finden,neutral,545
ja,neutral,545
wir können einfach das dritte Jahr machen,neutral,545
Aber 3. Jahr. Los geht's,joy,545
Ye Boi,joy,545
(y),neutral,545
Bis dahin. Ich werde ein Bape-Sponsoring bekommen,neutral,545
Person_268. Lol,non-neutral,545
klingt gut,neutral,545
wo befindet sich die Fach-HL-Klasse?,neutral,139
"dienstags und donnerstags am Standort_31, von 15 bis 16.20 Uhr",neutral,139
"Aber die Klasse ist überfüllt und es gibt keinen Platz zum Sitzen. Muss mindestens 10 Min. vor der Klasse dort sein, um einen Platz zu bekommen",neutral,139
oh,neutral,139
"der Prof kein Problem damit hat, dass die Leute sich durchsetzen?",neutral,139
Das glaube ich nicht. Aber ich wüsste nicht,neutral,139
"Ich habe bis jetzt niemanden um Erlaubnis gebeten, zu sitzen",neutral,139
ohk,neutral,139
"Er sagte, dass die Leute abnehmen werden, sobald die Warteliste feststeht, was also 3-4 Wochen dauern wird",neutral,139
cool,neutral,139
Ich sitze einfach durch,neutral,139
Sicher. :D Er unterrichtet jetzt Teile der linearen Algebra,neutral,139
Ist Person_362 ok,fear,235
Ich schlief,neutral,235
Oh guten Morgen,joy,235
Raketenstart verlief nicht gut,sadness,235
Oh warum,surprise,235
Die meisten Motoren und Zünder waren schlecht,sadness,235
Nur 1 von unseren 4 Zündern funktionierte,non-neutral,235
Oh nein,sadness,235
Lachen,joy,235
"Ja, das haben alle gesagt",non-neutral,235
Oh,neutral,235
Schrei,sadness,235
Wir versuchen es nächstes Semester wieder mit neuen Zündern und Motoren,neutral,235
Oh nein,non-neutral,235
Das war's?,sadness,235
Was ist es,neutral,235
Wie keine Chance mehr in diesem Semester,neutral,235
Nö.,non-neutral,235
Es ist k,neutral,235
Sie machen Wiederholungen von Tötungen...,neutral,235
"Anscheinend gibt die Schule, gegen die wir sind, Stipendien für LOL...",joy,235
wir haben schlecht verloren,sadness,235
aber unser Badmintonspieler ist auf Platz 1 der Nation,joy,235
"Das war so ungefähr die dritte oder vierte Nacht, die wir zusammen verbracht haben.",neutral,576
"Ich glaube, wir haben hier etwas Besonderes am Laufen lol",joy,576
;),joy,576
"Normalerweise macht sie ein Nickerchen und ich bin derjenige, der sie von ihrem Nickerchen aufweckt",neutral,576
"Ich habe nie realisiert, wie intim es ist, jemanden aufzuwecken lol",joy,576
Jaaa,neutral,576
Zumindest wecken Sie sie schön auf lol,joy,576
"Ich kann sie nicht vakuumieren, wie wir es tun person_291",neutral,576
nahhh tun Sie es einfach :P,joy,576
Es gibt kein Vakuum im Cluster,neutral,576
"Es ist bei weitem die effizienteste Methode, jemanden aufzuwecken",neutral,576
machen Sie es mit Ihrem Mund,neutral,576
"Ich habe schon einmal mit dem Vakuum gearbeitet, es ist sehr effektiv",neutral,576
Das ist küssende Person_165,neutral,576
"Was Sie nicht tun können, wenn sie schlafen, es sei denn, Sie tun es, während sie schlafen",neutral,576
*Aufwachen,neutral,576
"sagen Sie ihr einfach, dass es war, um sie aufzuwecken",non-neutral,576
?,neutral,629
Welches Treffen? Welcher Bus? Einfach was.,neutral,629
Spät aufgestanden?,neutral,629
"Ich bin spät aufgewacht und habe den Bus vorbeifahren sehen, als ich heute Morgen losgegangen bin, also musste ich laufen.",non-neutral,629
Zu welchem Treffen,neutral,629
"Und bist du spät aufgewacht, weil ich dich wach gehalten habe...? :c",non-neutral,629
Nein.,neutral,629
Für eine kurze Teilzeitbeschäftigung.,neutral,629
Hoffentlich brauche ich es nicht.,neutral,629
Denn es ist nicht einmal wirklich eine Teilzeitbeschäftigung.,neutral,629
"Was war es? Und bist du sicher, dass ich dich nicht wach gehalten habe?",non-neutral,629
Vollständig in Standort_13.,neutral,629
Im Wesentlichen Assistent für ein Diplomarbeitsexperiment.,neutral,629
Was bedeutet das?,neutral,629
"Das heißt, sie machen das Experiment, ich bleibe beim Not-Aus-Schalter.",neutral,629
*Schalter*,neutral,629
Oh. Werden Sie bezahlt. Und was für ein Experiment?,neutral,629
"Ja. Sie arbeiten an einer Kollisionserkennung für die Fertigung. So soll der Roboterarm anhalten, wenn etwas im Weg ist.",neutral,629
"Das Problem ist, dass es insgesamt etwa 40 Stunden sind.",neutral,629
Es ist also nicht einmal eine Sommer-Teilzeit-Sache.,non-neutral,629
Und hier drüben ist es Person_302.,neutral,629
"Pssst, wir tun nur so.",neutral,629
Ich könnte es in die eine oder andere Richtung drehen. Es ist keine Forschung.,neutral,629
Ich verstehe. Und technisch gesehen auch nicht Ihr Freund. Warum also ein Treffen?,neutral,629
"Scheiße, ich muss heute Abend ins Labor gehen",non-neutral,391
bf1 beta ist live,neutral,391
WARTE Person_204,joy,391
Ist es offen?,neutral,391
Ich glaube ja,neutral,391
YESSSSSSSSSSSSSSSSS,joy,391
Es ist nicht vollständig geöffnet bis morgen,neutral,391
"Nur diejenigen, die heute Codes erhalten haben, können spielen",neutral,391
"Ich habe 2 E-Mails mit Zugangsschlüsseln, also",neutral,391
Reservierungen,neutral,391
"Ich habe das Gefühl, es wäre besser, wenn wir die Karte nicht mit einbeziehen, aber dann ein Pendel an den schwebenden Magneten hängen",neutral,55
"Im Wesentlichen ist es das gleiche Konzept wie bei uns, aber eine sauberere Implementierung",neutral,55
"wie ein Inv an einem Magneten hängt, der schwebt?",neutral,55
*Karren,neutral,55
Person_37,neutral,55
Sie haben itv,neutral,55
Wie wird er dann in x-Richtung bewegt?,neutral,55
zur Steuerung ?,neutral,55
Ahhhhhh nein können wir nicht,non-neutral,55
"kann u wie kommen mit einer tatsächlichen Einrichtung irgendwann, so dass modellig getan werden kann",neutral,55
"Ja, das kann ich tun",neutral,55
ok,neutral,55
Auch,neutral,55
"Glauben Sie, wir können einen normalen Magneten verwenden?",neutral,55
"Ich überlege, wie wir erkennen können, ob der Stick senkrecht nach oben oder unten steht ????",neutral,55
"Als diese Leute an diesem Tag zur Vorführung kamen, erinnern Sie sich, dass wir sie gefragt haben, wie sie erkennen, ob der Stock senkrecht steht?",neutral,55
vielleicht eine Markierung an einer Stelle im Stab und an einer Stelle im Bob,neutral,55
und einige Detektoren von ihnen,neutral,55
Hmmmm,neutral,55
Ich überlege mir noch ein paar Ideen und melde mich zurück,neutral,55
ja d,neutral,55
Das Einstiegsschiff,neutral,716
Oh Gott,surprise,716
Das ist aber mein Favorit,joy,716
"Sie haben eine gefallene Person_342, einen Kabalenabfangjäger und Person_462",neutral,716
Auf keinen Fall,surprise,716
Ich brauche den Abfangjäger,neutral,716
Sie haben einige Spatzen,neutral,716
Ich möchte einen Jäger und einen Hexenmeister mit einem Spatzen auf meinen Schreibtisch stellen,neutral,716
bc korea,neutral,431
sie zensieren manchmal auch Tattoos,neutral,431
alle Zeiten,neutral,431
Wtf,surprise,431
Sogar Raben-Tattoos,neutral,431
Warum Asien so konservativ ist,non-neutral,431
äh es ist korea,neutral,431
"Ich weiß nicht, was sie tun",non-neutral,431
Ich finde es manchmal sogar lustig,neutral,431
"in zufälligen Videos, wenn ein Krimineller ein winziges Schweizer Armeemesser herausnimmt und es unscharf ist",neutral,431
und trotzdem sind die Waffen nicht unscharf?,surprise,431
Sehr bizarr,neutral,431
"genau wie in diesem Werbespot, von dem mein Freund sprach, das Messer, das der Koch in der Hand hielt, war in Ordnung, aber sobald er es in ein Schneidebrett warf und es dort stecken blieb, muss es unscharf sein lol",non-neutral,431
So weird,non-neutral,431
lol,joy,431
so langsam bei meiner hw,neutral,431
immer wieder kleine Pausen einlegen,neutral,431
"Au, ich habe aus Versehen einen Pickel ziemlich grob aufgekratzt und es hat so weh getan, dass ich aufgerissen habe.",non-neutral,431
Smarties,neutral,431
Oh Scheiße Babe,non-neutral,403
Leck mich.,non-neutral,403
"Ja, Ma'am",neutral,403
"PS Ich bin so gestresst, wieder schwanger zu sein",fear,403
Weil ich mich so scheiße gefühlt habe,non-neutral,403
Babe!!!,surprise,403
Neeeeein,non-neutral,403
Und stomsche Schmerzen,non-neutral,403
Und Übelkeit,non-neutral,403
"Oh nein, Häschen",non-neutral,403
Gehen Sie zum Gesundheitsdienst,fear,403
Hübsch bitte,fear,403
Y,neutral,403
Mit vielen Kirschen obendrauf,neutral,403
Können sie nicht für Sie prüfen,neutral,403
Idk,neutral,403
"Aber es wird erst geprüft, wenn Sie es schon eine Weile haben",neutral,403
R u sicher,non-neutral,403
Sie kennen aber die Symptome,neutral,403
Ja,neutral,403
"Fangen Sie besser an, Geld zu sparen",neutral,403
Fml y würde u sein preggo tho,non-neutral,403
Denn Sex ohne Kondom ist sehr riskant,fear,403
hören,neutral,693
Kann ich jetzt nach Kanada gehen?,neutral,693
"was war das Kriterium, das Land nicht verlassen zu können",neutral,693
von allem,neutral,693
ohh jetzt,neutral,693
"Warte, lass mich nachdenken",neutral,693
"Sie können jetzt gehen, denke ich",neutral,693
ich habe konsularische sowieso na,neutral,693
"aber wenn Sie abreisen, nachdem Sie Ihre Bestätigung_1(Visum_1) erhalten haben, müssen Sie erneut mit Visum_1 einreisen",neutral,693
es gibt einen Schlüssel zum Laufen,neutral,138
ich denke alt oder so,neutral,138
sorry minecraft lädt ein updae herunter und zerstört meine Verbindung,non-neutral,138
Ich kann mein Haus nicht finden,non-neutral,138
"Ich habe keine Ahnung, wo ich bin",non-neutral,138
Ich habe nichts bei mir,non-neutral,138
Das gefällt mir nicht,non-neutral,138
aw,sadness,138
"wenn Sie ein neues Haus bauen, machen Sie einen Fackelpfad vom Spawn oder so, damit Sie dorthin gelangen können",neutral,138
Ich brauche aber Taschenlampen,neutral,138
oder wie Schmutzwürfel,neutral,138
alles für eine Markierung,neutral,138
"Denken Sie daran, dass Sie Holz für Holzkohle verbrennen können, so dass Sie keine Kohle finden müssen",neutral,138
OMG Ich habe es gefunden,surprise,138
<3,joy,138
"Wie kann ich Dinge töten? Nichts stirbt, wenn ich es oft anklicke",neutral,138
Wie das Silberfischchen,neutral,138
eine Waffe benutzen,neutral,138
ein Schwert aus Stein und Stöcken machen,neutral,138
5K ist außerhalb meines Budgets,sadness,439
:(,sadness,439
oww,surprise,439
es ist ein episches Geschäft,joy,439
"Ich weiß. Aber ich bin jetzt völlig pleite. Und ich kenne meine Abschlusspläne nicht, also, Car",non-neutral,439
ist vorerst auf Eis gelegt,sadness,439
Haben auch eine gemeinsame Gruppe von Ihnen 4 und mir,neutral,439
um Duke-Energierechnungen zu teilen,neutral,439
ist für Aug. aus,neutral,439
yuzz,neutral,439
"Nun, ich habe ""Berufserfahrung"" über ""außerschulische Aktivitäten"" gestellt.",neutral,612
Was für ein Schritt ins Erwachsensein,neutral,612
Ich liebe dich,joy,612
Benutzen Sie meine noch als Vorlage?,neutral,612
Und ich liebe dich,joy,612
:p,joy,612
die linke Seite ist etwas schlampig,neutral,612
Sie können Organisation_61 unter Bildung ablegen :p,joy,612
darf ich?,surprise,612
Ja,neutral,612
"Warten Sie, eigentlich glaube ich nicht, dass ich das kann",non-neutral,612
"Ich müsste ein Startdatum angeben, richtig?",neutral,612
Sie können tatsächlich lol,joy,612
Sie sind eingeschrieben,neutral,612
Aug 16 - Gegenwart,neutral,612
"er, 22. august",neutral,612
die noch nicht bestanden hat,neutral,612
Sie geben kein Startdatum für NCP an,neutral,612
"Oh, Sie haben Recht",non-neutral,612
"sagen Sie einfach ""voraussichtlich 2020""",neutral,612
so funktioniert das,neutral,612
Oder so ähnlich,neutral,612
Oh nein,non-neutral,166
In Entschuldigung,sadness,166
Ich bin,neutral,166
Wird es schwer sein,neutral,166
Nah,neutral,166
"Der schwierige Teil ist, alles beim ersten Mal herauszufinden",neutral,166
